mental_health,substance_use,telehealth,residential,partial_hospitalization,outpatient,intensive_outpatient,inpatient,cash_payment,medicaid,medicare,private_insurance,tricare,sliding_fee_scale,cbt,dbt,opioid_treatment_program,medication_assisted_treatment,veterans,adolescents,pregnant_postpartum,asl_support,spanish_support,facility_name,program_name,address1,address2,city,state,zip_code,county,phone,website,latitude,longitude,type_facility,full_address,display_name
True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,228 COE House,,228 Concord Street,,Framingham,MA,01702,Middlesex,508-424-5066,https://www.smoc.org,,,SU,"228 Concord Street, Framingham, MA 01702",228 COE House
True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,False,Adolescent Substance Use and Addiction,Boston Childrens Hospital,2 Brookline Place,,Brookline,MA,02445,Norfolk,617-355-2727,https://www.childrenshospital.org/asap,42.3322788,-71.1161373,SU,"2 Brookline Place, Brookline, MA 02445",Adolescent Substance Use and Addiction — Boston Childrens Hospital
True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,Advocates Community Counseling,Marlborough,340 Maple Street,4th Floor,Marlborough,MA,01752,Middlesex,508-485-9300,https://www.advocates.org,42.3358223,-71.5411446,SU,"340 Maple Street, 4th Floor, Marlborough, MA 01752",Advocates Community Counseling — Marlborough
True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,Advocates Community Counseling,Waltham,675 Main Street,,Waltham,MA,02452,Middlesex,781-893-5110,https://www.advocates.org,42.3763771,-71.2369118,SU,"675 Main Street, Waltham, MA 02452",Advocates Community Counseling — Waltham
False,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,Aftermath Addiction Treatment Ctr LLC,,607 North Avenue,Suite 11-E,Wakefield,MA,01880,Middlesex,781-587-3636,https://aftermathtreatmentcenter.com/,42.5157637,-71.0870395,SU,"607 North Avenue, Suite 11-E, Wakefield, MA 01880",Aftermath Addiction Treatment Ctr LLC
True,False,True,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,Aftermath Behavioral Health,,50-D Audubon Road,,Wakefield,MA,01880,Middlesex,978-914-8253,https://aftermathbehavioralhealth.com/,42.517647,-71.0452746,MH,"50-D Audubon Road, Wakefield, MA 01880",Aftermath Behavioral Health
False,True,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,Andrew House Boston,,170 Morton Street,Suite 4-South,Jamaica Plain,MA,02130,Suffolk,617-318-5600,https://www.baycovehumanservices.org,42.3389582,-71.0876222,SU,"170 Morton Street, Suite 4-South, Jamaica Plain, MA 02130",Andrew House Boston
True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Appleton,McLean Hospital,115 Mill Street,,Belmont,MA,02478,Middlesex,617-855-3121,https://www.mcleanhospital.org/programs/appleton,42.3951913,-71.194474,MH,"115 Mill Street, Belmont, MA 02478",Appleton — McLean Hospital
True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,Arbour Counseling Services,Jamaica Plain,157 Green Street,,Jamaica Plain,MA,02130,Suffolk,617-390-1498,https://arbourhospital.com,42.3101407,-71.1067176,SU,"157 Green Street, Jamaica Plain, MA 02130",Arbour Counseling Services — Jamaica Plain
True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,Arbour Counseling Services,,21 George Street,,Lowell,MA,01852,Middlesex,978-453-5736,https://arbourhealth.com,42.6420182,-71.3067695,MH,"21 George Street, Lowell, MA 01852",Arbour Counseling Services
True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,True,Arbour Hospital,Dual Diagnosis Treatment,49 Robinwood Avenue,,Jamaica Plain,MA,02130,Suffolk,617-522-4400,https://arbourhospital.com,42.3157847,-71.112278,MH,"49 Robinwood Avenue, Jamaica Plain, MA 02130",Arbour Hospital — Dual Diagnosis Treatment
True,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,Aspire Health Alliance,,1501 Washington Street,,Braintree,MA,02184,Norfolk,617-847-1950,https://www.aspirehealthalliance.org,42.1898636,-71.0112392,MH,"1501 Washington Street, Braintree, MA 02184",Aspire Health Alliance
True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,Aspire Health Alliance,,460 Quincy Avenue,,Quincy,MA,02169,Norfolk,617-847-1950,https://www.aspirehealthalliance.org/,42.2385863,-70.9800815,MH,"460 Quincy Avenue, Quincy, MA 02169",Aspire Health Alliance
False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,BHN Dorchester Family Center,,,,Dorchester,MA,02125,Suffolk,617-379-3307,https://www.bhninc.org,,,SU,"Dorchester, MA 02125",BHN Dorchester Family Center
