"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","php","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","sed","smi","alz","ptsd","tbi","ya","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","supem","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","snr","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanz_fluox","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","fep","aot","msnh","ipsy","shp","vahc","mmd","antpych","mprep","aims","fed","sotp","dea","mhc","samhsa","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Bay Cove Treatment Center","","66 Canal Street","","Boston","MA","02114","","Suffolk","617-371-3030","https://www.baycovehumanservices.org","42.3636637","-71.059666","SU","","1","1","1","1","1","1","","1","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","","","","","","","","","","","1","","","1","1","1","1","1","","","","1","1","","1","1","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","1","","1","1","","","","1","1","1","","","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","1","1","1","","","1","1","","","","","","1","1","","","","","","","1","","1","1","1","","","","","","1","1","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","1","","","1","","1","1","","1","","1","","","","","","","","","1","","","","","","",""
"Bay Cove Treatment Center","","66 Canal Street","","Boston","MA","02114","","Suffolk","617-371-3030","https://www.baycovehumanservices.org","42.3636637","-71.059666","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","1","","","1","","1","1","1","1","1","","","","1","","","","","","1","1","","","","","","1","","","","","","1","","1","1","","1","1","1","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","1","","","1","","1","","","","","","","","","","","","","","","",""
"North Suffolk Community Services","Freedom Trail Clinic","25 Staniford Street","2nd Floor","Boston","MA","02114","2503","Suffolk","866-781-6727","https://www.northsuffolk.org","42.3625908","-71.0636032","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","","","","1","","","","","","1","","","1","1","","1","","","","","","","","","","","1","","","","1","","1","","","","","","","","1","1","","","1","","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","",""
"North End Waterfront Health","Behavioral Health/Substance Use Dept","332 Hanover Street","","Boston","MA","02113","","Suffolk","617-643-1195","https://northendwaterfronthealth.org","42.3648007","-71.0537232","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","1","","","","","","","","","","","1","1","1","1","1","","1","1","1","1","","1","1","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","","","1","","1","","","","","","","1","1","1","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","",""
"Charlestown Recovery Home","","15 Bunker Hill Street","","Charlestown","MA","02129","","Suffolk","617-242-0088","https://www.gavinfoundation.org","42.3762129","-71.0562303","SU","","1","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","","1","","1","1","","","","","","","","","","","1","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","","","1","1","","1","1","","","1","","","1","1","","","1","","","1","","","1","","","1","1","1","","","","1","1","1","","","","","","1","1","1","1","1","","1","1","1","","","","","","","","","","1","","","1","1","1","","","1","","1","1","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Middlesex Human Service Agency Inc","Answer House Recovery Home","5 G Street","","Boston","MA","02127","","Suffolk","617-268-7124","https://www.mhsainc.org","42.3361379","-71.0444607","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","1","","","","1","","","","","1","","","","","","","","","","","","","","1","","1","","","","","1","","","","1","","","1","","","","","1","","","","","","","1","1","1","","","1","1","","1","1","","","1","","","1","1","","","1","","","1","","","","","","1","1","1","","","","1","1","1","","","","","","1","1","1","1","1","","","1","1","","1","","","","","","","","1","","1","","1","1","","","1","","1","1","1","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dr Solomon Carter Fuller Mental Health","","85 East Newton Street","","Boston","MA","02118","","Suffolk","617-626-8700","https://www.departmentofmentalhealth.gov","42.3362574","-71.070829","MH","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","1","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","","1","","","","1","1","","","","","","","","","","","1","1","1","1","1","1","","","","","1","1","","1","","1","1","1","1","1","1","","","","1","1","1","1","1","1","","1","","1","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","1","1","1","","1","","","1","1","","","1","1","1","1","1","","1","1","1","1","","","","","","","","","1","","","","","","","1","","1","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEW Health Charlestown","Behavioral Health/Substance Use Prog","15 Tufts Street","","Charlestown","MA","02129","","Suffolk","857-238-1120","https://newhealthcharlestown.org","42.3778685","-71.0567876","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","1","","","","","","","","","","","1","1","1","1","1","","1","1","1","1","","1","1","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","","","1","","1","","","","","","","1","1","1","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","",""
"Gavin Foundation","Center for Recovery Services","210 Old Colony Avenue","","Boston","MA","02127","","Suffolk","617-268-5000 x1","https://www.gavinfoundation.org","42.3330016","-71.0537","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","1","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Gavin Foundation","Center for Recovery Services","210 Old Colony Avenue","","Boston","MA","02127","","Suffolk","617-268-5000 x1","https://www.gavinfoundation.org","42.3330016","-71.0537","SU","","1","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","","1","1","","","","","","","","","","","1","","","","","","","1","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","","1","","","1","1","","1","1","","","1","","","","","","1","1","1","1","","","1","1","1","","","","1","","1","","1","1","1","","","1","1","","1","","1","1","1","1","","","1","","","","1","1","","","1","1","1","1","1","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
